\ This script generates Case-5 astrometry challenges. The telescope used in this
\ challenge is affected by distortion. Astronomical sources are retrived from
\ the Gaia EDR3 catalog, while observations fields are not in the Galactic
\ center region. In total, 10 fields are obtained for each distortion pattern. A
\ list of source positions on the focal plane and original ICRS coordinates is
\ provided. Solve the position angle and distortion parameters.
\distortion_K=(48.77725635611796,)
\distortion_S=(-1.43752271353587, -0.5569769299914513)
\distortion_T=(-55.31674870030141,)
\distortion_scale=1.0033126343140357
|                  x|                  y|                ra|                dec|field|
|             double|             double|            double|             double| long|
|                 um|                 um|               deg|                deg|     |
|               null|               null|              null|               null| null|
   17897.09667087883 -15032.669346193788 351.07133412620425  -33.26455342709567     0 
  17362.406492988808 -14590.408644169207  351.0651856752618 -33.264711523882234     0 
   12351.65732898322 -10697.201055047623 351.00794880171145  -33.26473440121636     0 
   8118.210740304998  -9188.717315157435   350.968423489007   -33.2538893541787     0 
   7977.489471281326 -15360.006437774513 351.00114364354454  -33.21571939351196     0 
   3025.009433258913 -10360.754179951578  350.9371121804141   -33.2226247554089     0 
   2685.127293747848 -11087.776241868914  350.9386270113754  -33.21660670770209     0 
  -5340.111043696339  -20479.65038951837  350.9310200201136  -33.12438742935737     0 
  -11240.62577139943  16345.547317627554  350.6839333398331 -33.320307303640234     0 
 -11573.273229358423   10368.90625503554  350.7138219774019   -33.2821439283078     0 
 -11725.248892800715  10239.708925272522  350.7134537816985  -33.28064255386493     0 
 -17176.081765845807   9699.508184518241   350.678429722382 -33.252291271881916     0 
 -11458.504226560315   2908.171938821017 350.75592855731315  -33.23669876387627     0 
  -18957.90155163072  12603.326215681596 350.65075709862424  -33.26191651233309     0 
 -17731.318812652404  11521.089777645917  350.6648357448975  -33.26088917120502     0 
 -18507.828019953773   8238.776774636479  350.6772285451299 -33.237363225396315     0 
 -11692.479082112937   923.8323577054153 350.76536921670936  -33.22342981137527     0 
   -9527.27930990198 -2795.1773852096862  350.8019169915673  -33.21052755016415     0 
 -14228.317589658502   722.7164036159452 350.74843993190285  -33.21069895732962     0 
 -15040.797161577917  -9789.068809203412 350.80167147282236  -33.14384007097101     0 
 -13358.495496846353 -12025.003111102866  350.8262122746903  -33.13800673386881     0 
 -18164.203399292663  -7362.245615811259 350.76603167382206 -33.144687108769475     0 
 -18379.513639649384  -3843.855572240964  350.7448385945596  -33.16470232544218     0 
 -19792.372417180184  -8268.332766143449 350.75975933613705 -33.132401343968496     0 
  -19530.28438253181  -10344.69275701697  350.7731850983082  -33.12136597684624     0 
 -10028.179170819763 -13098.262466950513  350.8562319660781  -33.14634932192695     0 
   -9908.78453602998 -13167.742597344308 350.85748595593327  -33.14647022546829     0 
   -9918.67544322382 -20462.948653164007 350.89768057489846   -33.1043530733335     0 
 -14165.670953318859 -14971.071212740766  350.8368705727694  -33.11737058010993     0 
  -19274.69826142605 -17511.914752539713 350.81484004100133  -33.08141443207321     0 
 -12097.198640884251   15601.20272534467  348.5746021326537 -31.920427910460486     1 
  -17889.24548448902  17005.581805273894  348.5311915468918  -31.94334665411106     1 
 -18588.907536526007  16359.132720246507  348.5234623912835  -31.94038874904521     1 
 -18892.629405814554     7432.1475673881  348.4931572488988  -31.87808428929599     1 
  13948.235837118556   19434.03750684296  348.8092182950154 -31.882213694787374     1 
  2482.1248014420958  20245.041183013178 348.71330793084536 -31.917798574354883     1 
 -137.02479005382276  19018.705185962346 348.68705421131926 -31.915733398189808     1 
  -1258.252460636437  17692.503469153588  348.6733503428999 -31.909131562378576     1 
  -5968.201023864929   15786.52293028347  348.6270394939421 -31.907164395564543     1 
  -6179.576888711361  15302.906486440346 348.62372832415076 -31.904231035790662     1 
 -1662.9652387840374   16499.89510680362  348.6662014713865 -31.901646719811907     1 
 -1278.8841515839476  15361.218184565807 348.66600770983626 -31.892537330461654     1 
 -3076.5652360413546   13837.93639715797 348.64579789320754  -31.88608464375692     1 
  1656.3099341553977   9842.481012187267 348.67442547566196 -31.845060313093512     1 
  7665.7524496794085  15614.984394264757 348.74418755170757 -31.871431910301762     1 
  16116.607579992373  12982.217092077375 348.80898026491997 -31.830114765920325     1 
  16919.113854286305   11009.60795411759  348.8099881536639 -31.813653253483267     1 
   11833.41737808409   9963.393146466173 348.76323431149063  -31.81939693873061     1 
   10992.80230774766  10220.656717294021  348.7567439043777 -31.823490645728384     1 
  16969.047980700143   9446.829835475211 348.80576513690085  -31.80211821369186     1 
   17089.68195305003   9068.430882368526 348.80566177766894 -31.799036041527305     1 
